Episode Number,Pitch Number,Brand,Idea,Location,Sector,Male,Female,Avg_age,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Ashneer Amount Invested,Ashneer Equity Taken %,mita Amount Invested,mita Equity Taken %,Anupam Amount Invested,Anupam Equity Taken %,Vineeta Amount Invested,Vineeta Equity Taken %,Aman Amount Invested,Aman Equity Taken %,Peyush Amount Invested,Peyush Equity Taken %,Ghazal Amount Invested,Ghazal Equity Taken %,Total investors,Partners
1,1,BluePine Industries,Frozen Momos,Delhi,Food,2,1,35-40,75,0,18%,25,5.333333333,0,0,0,0,25,5.33,25,5.33,,,,,3,Ama-Ash-Vin
1,2,Booz scooters,Renting e-bike for mobility in private spaces,Ahemdabad,Automobile,0,0,25-30,40,0,50%,20,25,0,0,0,0,20,25,0,0,,,,,2,Ash-Vin
1,3,Heart up my Sleeves,Detachable Sleeves,Delhi,Clothes,1,1,20-25,25,0,30%,0,0,0,0,12.5,15,12.5,15,0,0,,,,,2,Anu-Vin
2,4,Tagz Foods,Healthy Potato Chips,Bangalore,Food,2,0,35-40,70,0,2.75%,70,2.75,0,0,0,0,0,0,0,0,,,,,1,Ash
2,5,Head and Heart,Brain Development Course,Delhi,Health,1,1,50-55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
2,6,Agro tourism,Tourism,Baramati,Tourism,0,1,50-55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
3,7,Qzense Labs,Food Freshness Detector,Delhi,Food,2,2,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
3,8,Peeschute,Disposable Urine Bag,Jal,Health,1,0,30-35,75,0,6%,0,0,0,0,0,0,0,0,75,6,,,,,1,Ama
3,9,NOCD,Energy Drink,Bangalore,Food,0,0,30-35,20,30,15%,0,0,0,0,0,0,50,15,0,0,,,,,1,Vin
4,10,Cosiq,Intelligent Skincare,Delhi,Health,2,1,25-30,50,0,25%,0,0,0,0,25,12.5,25,12.5,0,0,,,,,2,Anu-Vin
4,11,JhaJi Achaar,Pickle,Darbhanga,Food,1,2,45-50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
4,12,Bummer,Underwear,Ahemdabad,Clothes,1,0,20-25,75,0,7.50%,0,0,37.5,3.75,0,0,0,0,37.5,3.75,,,,,2,Ama-m
5,13,Revamp Moto,E-Bike,shik,Automobile,0,0,25-30,10,0,1.50%,0,0,0,0,50,0.75,0,0,50,0.75,,,,,2,Ama-Anu
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,Mumbai,Food,1,0,35-40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
5,15,Shrawani Engineers,Belly Button Shaper,Pune,Lifestyle,2,0,35-40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
6,16,Skippi Pops,Ice-Pops,Hyderabad,Food,1,1,35-40,10,0,15%,20,3,20,3,20,3,20,3,20,3,,,,,5,Ama-Anu-Ash-m-Vin
6,17,Menstrupedia,Menstrual Awareness Comic,Ahemdabad,Health,0,1,35-40,50,0,20%,0,0,50,20,0,0,0,0,0,0,,,,,1,m
6,18,Hecolll,Pollution Resistant Fabric,Hyderabad,Clothes,1,1,35-40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
7,19,Raising Superstars,Child Development App,Mumbai,Lifestyle,3,1,35-40,10,0,4%,50,2,0,0,0,0,0,0,50,2,,,,,2,Ama-Ash
7,20,Torch-it,Gadgets for visually impaired people,Ahemdabad,Health,2,0,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
7,21,La Kheer Deli,Kheer in variety of flavors,Pune,Food,2,2,35-40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
8,22,Beyond Sck,Kerala Ba Chips,Kerela,Food,1,0,30-35,50,0,2.50%,25,1.25,0,0,0,0,,,25,1.25,0,0,,,2,Ama-Ash
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,Hyderabad,Health,1,1,20-25,56,0,33.30%,0,0,0,0,28,16.66,,,0,0,28,16.66,,,2,Anu-Pey
8,24,Motion Breeze,Smart Electric Motorcycle,Gujarat,Automobile,0,0,25-30,30,0,6%,30,6,0,0,0,0,,,0,0,0,0,,,1,Ash
9,25,Altor,Smart Helmets,Kolkata,Automobile,1,0,25-30,50,0,7%,0,0,25,3.5,0,0,,,25,3.5,0,0,,,2,Ama-m
9,26,Ariro,Wooden Toys,Cheni,Lifestyle,1,1,35-40,50,0,10%,0,0,0,0,0,0,,,25,5,25,5,,,2,Ama-Pey
9,27,Kabira Handmade,Healthy Oils,Jaipur,Food,1,1,35-40,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
10,28,Nuutjob,Male Intimate Hygiene,Ahemdabad,Health,1,2,20-25,25,0,20%,0,0,8.3,6.6,0,0,,,8.3,6.6,8.3,6.6,,,3,Ama-m-Pey
10,29,Meatyour,Eggs,Pune,Food,1,0,35-40,30,0,20%,0,0,0,0,10,6.6,,,10,6.6,10,6.6,,,3,Ama-Anu-Pey
10,30,EventBeep,Student Community App,Pune,Lifestyle,3,1,20-25,30,0,3%,10,1,0,0,0,0,,,10,1,10,1,,,3,Ama-Ash-Pey
11,31,Gopal's 56,Fiber Ice Cream,Delhi,Food,4,0,30-35,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
11,32,ARRCOAT Surface Textures,Wall Building,Delhi,Lifestyle,1,0,35-40,50,0,15%,0,0,0,0,50,15,,,0,0,0,0,,,1,Anu
11,33,Farda,Customised Streetwear,gpur,Lifestyle,1,1,20-25,30,0,20%,0,0,15,10,0,0,,,15,10,0,0,,,2,Ama-m
12,34,Auli Lifestyle,Ayurvedic Products,Kolkata,Health,0,1,25-30,75,0,5%,0,0,75,15,0,0,,,0,0,0,0,,,1,m
12,35,SweeDesi,Indian Sweets,Pune,Food,3,1,35-40,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
12,36,LOKA,Metaverse App,Delhi,Technology,2,1,20-25,40,0,24%,0,0,0,0,13.3,8,,,13.3,8,13.3,8,,,3,Ama-Anu-Pey
13,37,Annie,Braille Literary Device,Bangalore,Health,1,1,20-25,10,0,3%,0,0,35,1,35,1,,,0,0,35,1,,,3,Anu-m-Pey
13,38,Caragreen,Eco-Friendly boxes,Indore,Lifestyle,3,2,40-45,50,0,20%,0,0,0,0,25,10,,,0,0,25,10,,,2,Anu-Pey
13,39,The Yarn Bazaar,Yarn-Trading App,Mumbai,Clothes,1,0,30-35,10,0,10%,25,2.5,0,0,25,2.5,,,25,2.5,25,2.5,,,4,Ama-Anu-Ash-Pey
14,40,The Rel Project,Home Dialysis Treatment,Mumbai,Health,0,0,30-35,10,0,6%,0,0,50,3,0,0,,,50,3,0,0,,,2,Ama-m
14,41,Morikko Pure Foods,Healthy Food Scks,Valsad,Food,1,1,45-50,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
14,42,Good Good Piggy Bank,Digital Piggy Bank,Delhi,Lifestyle,1,1,25-30,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
15,43,Hammer Lifestyle,Smart Audio Products,Panipat,Lifestyle,3,0,25-30,10,0,40%,0,0,0,0,0,0,,,100,40,0,0,,,1,Ama
15,44,PNT,Robotics and Automation Solutions,Mumbai,Technology,0,0,20-25,25,25,25%,0,0,0,0,0,0,,,0,0,50,50,,,1,Pey
15,45,Cocofit,Coconut based beverage franchise,Hyderabad,Food,1,1,35-40,5,0,5%,0,0,,,,,,,,,,,,,3,Ama-Anu-m
16,46,Bamboo India,Bamboo Products,Pune,Lifestyle,2,1,40-45,50,30,3.50%,40,1.75,0,0,40,1.75,,,0,0,0,0,,,2,Anu-Ash
16,47,Flying Furr,Dog Hygiene,Delhi,Food,2,1,25-30,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
16,48,Beyond Water,Liquid Water Enhancer,Kolkata,Lifestyle,0,1,30-35,75,0,15%,0,0,37.5,7.5,0,0,,,37.5,7.5,0,0,,,2,Ama-m
16,49,Let's Try,Healthy Scks,Delhi,Food,1,3,45-50,45,0,12%,0,0,0,0,22.5,6,,,22.5,6,0,0,,,2,Ama-Anu
17,50,Find Your Kicks India,Sneaker Resale,Ludhia,Lifestyle,2,0,20-25,50,0,25%,10,5,10,5,10,5,,,10,5,10,5,,,5,Ama-Anu-Ash-m-Pey
17,51,Aas Vidyalaya,EdTech App,Mumbai,Technology,,1,50-55,15,0,15%,50,3,50,3,0,0,,,0,0,50,3,,,3,Ash-m-Pey
17,52,Outbox,Premium Surprise-Planning,Kolkata,Lifestyle,1,1,30-35,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,-
